model_name,max_new_tokens,temperature,top_p,top_k,repetition_penalty,unique_name,raw_prompt,thought,emotion,prompt
meta-llama/Llama-3.2-1B-Instruct,1024,,,,,meta-llama/Llama-3.2-1B-Instruct_1024_N_N_N_N,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel {emotion}. 2) The provided distorted cognition sentence, ""{distorted_thought},"" must be included in their writing. 3) Provide only the generated text as a response.",I like my cats. I think one day they will plot against me and eat me in my sleep.,Depression,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel Depression. 2) The provided distorted cognition sentence, ""I like my cats. I think one day they will plot against me and eat me in my sleep.,"" must be included in their writing. 3) Provide only the generated text as a response."
meta-llama/Llama-3.2-1B-Instruct,1024,,,,,meta-llama/Llama-3.2-1B-Instruct_1024_N_N_N_N,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel {emotion}. 2) The provided distorted cognition sentence, ""{distorted_thought},"" must be included in their writing. 3) Provide only the generated text as a response.",I like my cats. I think one day they will plot against me and eat me in my sleep.,anger,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel anger. 2) The provided distorted cognition sentence, ""I like my cats. I think one day they will plot against me and eat me in my sleep.,"" must be included in their writing. 3) Provide only the generated text as a response."
meta-llama/Llama-3.2-1B-Instruct,1024,,,,,meta-llama/Llama-3.2-1B-Instruct_1024_N_N_N_N,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel {emotion}. 2) The provided distorted cognition sentence, ""{distorted_thought},"" must be included in their writing. 3) Provide only the generated text as a response.",I like my cats. I think one day they will plot against me and eat me in my sleep.,anxiety,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel anxiety. 2) The provided distorted cognition sentence, ""I like my cats. I think one day they will plot against me and eat me in my sleep.,"" must be included in their writing. 3) Provide only the generated text as a response."
meta-llama/Llama-3.2-1B-Instruct,1024,,,,,meta-llama/Llama-3.2-1B-Instruct_1024_N_N_N_N,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel {emotion}. 2) The provided distorted cognition sentence, ""{distorted_thought},"" must be included in their writing. 3) Provide only the generated text as a response.",I like my cats. I think one day they will plot against me and eat me in my sleep.,disappointment,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel disappointment. 2) The provided distorted cognition sentence, ""I like my cats. I think one day they will plot against me and eat me in my sleep.,"" must be included in their writing. 3) Provide only the generated text as a response."
meta-llama/Llama-3.2-1B-Instruct,1024,,,,,meta-llama/Llama-3.2-1B-Instruct_1024_N_N_N_N,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel {emotion}. 2) The provided distorted cognition sentence, ""{distorted_thought},"" must be included in their writing. 3) Provide only the generated text as a response.",I like my cats. I think one day they will plot against me and eat me in my sleep.,helplessness,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel helplessness. 2) The provided distorted cognition sentence, ""I like my cats. I think one day they will plot against me and eat me in my sleep.,"" must be included in their writing. 3) Provide only the generated text as a response."
meta-llama/Llama-3.2-1B-Instruct,1024,,,,,meta-llama/Llama-3.2-1B-Instruct_1024_N_N_N_N,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel {emotion}. 2) The provided distorted cognition sentence, ""{distorted_thought},"" must be included in their writing. 3) Provide only the generated text as a response.","I'm a vegan, and the restaurant served me a dish with fish in it. They're trying to kill me.",Depression,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel Depression. 2) The provided distorted cognition sentence, ""I'm a vegan, and the restaurant served me a dish with fish in it. They're trying to kill me.,"" must be included in their writing. 3) Provide only the generated text as a response."
meta-llama/Llama-3.2-1B-Instruct,1024,,,,,meta-llama/Llama-3.2-1B-Instruct_1024_N_N_N_N,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel {emotion}. 2) The provided distorted cognition sentence, ""{distorted_thought},"" must be included in their writing. 3) Provide only the generated text as a response.","I'm a vegan, and the restaurant served me a dish with fish in it. They're trying to kill me.",anger,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel anger. 2) The provided distorted cognition sentence, ""I'm a vegan, and the restaurant served me a dish with fish in it. They're trying to kill me.,"" must be included in their writing. 3) Provide only the generated text as a response."
meta-llama/Llama-3.2-1B-Instruct,1024,,,,,meta-llama/Llama-3.2-1B-Instruct_1024_N_N_N_N,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel {emotion}. 2) The provided distorted cognition sentence, ""{distorted_thought},"" must be included in their writing. 3) Provide only the generated text as a response.","I'm a vegan, and the restaurant served me a dish with fish in it. They're trying to kill me.",anxiety,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel anxiety. 2) The provided distorted cognition sentence, ""I'm a vegan, and the restaurant served me a dish with fish in it. They're trying to kill me.,"" must be included in their writing. 3) Provide only the generated text as a response."
meta-llama/Llama-3.2-1B-Instruct,1024,,,,,meta-llama/Llama-3.2-1B-Instruct_1024_N_N_N_N,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel {emotion}. 2) The provided distorted cognition sentence, ""{distorted_thought},"" must be included in their writing. 3) Provide only the generated text as a response.","I'm a vegan, and the restaurant served me a dish with fish in it. They're trying to kill me.",disappointment,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel disappointment. 2) The provided distorted cognition sentence, ""I'm a vegan, and the restaurant served me a dish with fish in it. They're trying to kill me.,"" must be included in their writing. 3) Provide only the generated text as a response."
meta-llama/Llama-3.2-1B-Instruct,1024,,,,,meta-llama/Llama-3.2-1B-Instruct_1024_N_N_N_N,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel {emotion}. 2) The provided distorted cognition sentence, ""{distorted_thought},"" must be included in their writing. 3) Provide only the generated text as a response.","I'm a vegan, and the restaurant served me a dish with fish in it. They're trying to kill me.",helplessness,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel helplessness. 2) The provided distorted cognition sentence, ""I'm a vegan, and the restaurant served me a dish with fish in it. They're trying to kill me.,"" must be included in their writing. 3) Provide only the generated text as a response."
meta-llama/Llama-3.2-1B-Instruct,1024,,,,,meta-llama/Llama-3.2-1B-Instruct_1024_N_N_N_N,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel {emotion}. 2) The provided distorted cognition sentence, ""{distorted_thought},"" must be included in their writing. 3) Provide only the generated text as a response.",The cashier at the bagel store messed up my order. It's because they hate me and want me to stop coming to the shop.,Depression,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel Depression. 2) The provided distorted cognition sentence, ""The cashier at the bagel store messed up my order. It's because they hate me and want me to stop coming to the shop.,"" must be included in their writing. 3) Provide only the generated text as a response."
meta-llama/Llama-3.2-1B-Instruct,1024,,,,,meta-llama/Llama-3.2-1B-Instruct_1024_N_N_N_N,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel {emotion}. 2) The provided distorted cognition sentence, ""{distorted_thought},"" must be included in their writing. 3) Provide only the generated text as a response.",The cashier at the bagel store messed up my order. It's because they hate me and want me to stop coming to the shop.,anger,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel anger. 2) The provided distorted cognition sentence, ""The cashier at the bagel store messed up my order. It's because they hate me and want me to stop coming to the shop.,"" must be included in their writing. 3) Provide only the generated text as a response."
